"STATION","NAME","DATE","DX70","DX90","EMSN","EMXP","EMXT","SNOW","TAVG"
"USC00190736","BLUE HILL, MA US","1927-11","5","0","0.1","2.12","73","0.1","45.5"
"USC00190736","BLUE HILL, MA US","1927-12","0","0","2.0","1.10","61","2.2","32.4"
"USC00190736","BLUE HILL, MA US","1928-01","0","0","3.7",,"55","7.2","28.4"
"USC00190736","BLUE HILL, MA US","1928-02","0","0","9.1","1.10","53","12.6","26.1"
"USC00190736","BLUE HILL, MA US","1928-03","1","0","4.0","0.59","71","8.5","33.3"
"USC00190736","BLUE HILL, MA US","1928-04","3","0","0.8","1.42","81","0.8","43.7"
"USC00190736","BLUE HILL, MA US","1928-05","6","0",,"1.25","78",,"53.4"
"USC00190736","BLUE HILL, MA US","1928-06","18","0",,"1.70","87",,"62.5"
"USC00190736","BLUE HILL, MA US","1928-07","29","1",,"1.01","91",,"70.5"
"USC00190736","BLUE HILL, MA US","1928-08","29","9",,"1.52","95",,"71.7"
"USC00190736","BLUE HILL, MA US","1928-09","15","0",,"2.02","83",,"59.3"
"USC00190736","BLUE HILL, MA US","1928-10","12","0",,"1.25","86",,"53.7"
"USC00190736","BLUE HILL, MA US","1928-11","1","0","0.6","0.48","74","1.5","40.8"
"USC00190736","BLUE HILL, MA US","1928-12","0","0","3.5","1.08","59","4.7","34.6"
"USC00190736","BLUE HILL, MA US","1929-01","0","0","6.0","1.40","59","14.5","25.1"
"USC00190736","BLUE HILL, MA US","1929-02","0","0","9.0","1.37","51","25.3","27.6"
"USC00190736","BLUE HILL, MA US","1929-03","0","0","3.5","0.82","69","9.5","37.9"
"USC00190736","BLUE HILL, MA US","1929-04","3","0","2.5","2.45","86","6.0","44.4"
"USC00190736","BLUE HILL, MA US","1929-05","14","4","0.0","0.88","93","0.0","57.5"
"USC00190736","BLUE HILL, MA US","1929-06","24","1",,"2.80","93",,"66.1"
"USC00190736","BLUE HILL, MA US","1929-07","30","4",,"0.42","93",,"70.8"
"USC00190736","BLUE HILL, MA US","1929-08","30","1",,"1.78","91",,"67.8"
"USC00190736","BLUE HILL, MA US","1929-09","17","2",,"0.34","95",,"63.9"
"USC00190736","BLUE HILL, MA US","1929-10","6","0",,"1.24","75",,"50.4"
"USC00190736","BLUE HILL, MA US","1929-11","1","0","4.0","1.80","75","4.0","40.6"
"USC00190736","BLUE HILL, MA US","1929-12","0","0","5.0","0.88","50","13.1","28.1"
"USC00190736","BLUE HILL, MA US","1930-01","0","0","3.5","0.82","60","7.9","27.2"
"USC00190736","BLUE HILL, MA US","1930-02","0","0","4.5","0.68","66","9.1","31.3"
"USC00190736","BLUE HILL, MA US","1930-03","0","0","0.3","1.20","57","0.3","35.7"
"USC00190736","BLUE HILL, MA US","1930-04","2","0","0.0","1.06","73","0.0","45.2"
"USC00190736","BLUE HILL, MA US","1930-05","15","2","0.0","0.96","93","0.0","57.5"
"USC00190736","BLUE HILL, MA US","1930-06","28","3",,"0.82","95",,"69.5"
"USC00190736","BLUE HILL, MA US","1930-07","30","2",,"1.18","92",,"70.5"
"USC00190736","BLUE HILL, MA US","1930-08","24","4","0.0","1.22","96","0.0","67.6"
"USC00190736","BLUE HILL, MA US","1930-09","25","0",,"0.35","89",,"66.5"
"USC00190736","BLUE HILL, MA US","1930-10","3","0","0.1","3.12","84","0.1","48.7"
"USC00190736","BLUE HILL, MA US","1930-11","0","0","0.1","1.77","66","0.1","40.0"
"USC00190736","BLUE HILL, MA US","1930-12","0","0","6.0","1.45","50","12.2","29.4"
"USC00190736","BLUE HILL, MA US","1931-01","0","0","7.5","1.28","51","14.2","26.0"
"USC00190736","BLUE HILL, MA US","1931-02","0","0","4.5","1.70","46","14.4","26.1"
"USC00190736","BLUE HILL, MA US","1931-03","0","0",,"1.29","52",,"34.3"
"USC00190736","BLUE HILL, MA US","1931-04","3","0","2.0","1.64","77","2.8","46.4"
"USC00190736","BLUE HILL, MA US","1931-05","15","1","0.0","1.19","91","0.0","56.9"
"USC00190736","BLUE HILL, MA US","1931-06","20","1",,"2.51","93",,"63.8"
"USC00190736","BLUE HILL, MA US","1931-07","30","3","0.0","1.04","97","0.0","72.2"
"USC00190736","BLUE HILL, MA US","1931-08","27","2",,"1.81","95",,"69.4"
"USC00190736","BLUE HILL, MA US","1931-09","19","3","0.0","0.91","91","0.0","64.5"
"USC00190736","BLUE HILL, MA US","1931-10","10","0",,"1.18","80",,"56.1"
"USC00190736","BLUE HILL, MA US","1931-11","3","0","0.3","0.52","75","0.3","46.5"
"USC00190736","BLUE HILL, MA US","1931-12","0","0","1.5","0.70","56","2.1","32.8"
"USC00190736","BLUE HILL, MA US","1932-01","0","0","6.1","1.77","63","10.7","35.4"
"USC00190736","BLUE HILL, MA US","1932-02","0","0","6.8","0.70","48","10.7","26.9"
"USC00190736","BLUE HILL, MA US","1932-03","0","0",,"2.31","57",,"31.1"
"USC00190736","BLUE HILL, MA US","1932-04","3","0","0.2","0.78","74","0.2","44.4"
"USC00190736","BLUE HILL, MA US","1932-05","13","0","0.0","0.62","87","0.0","56.8"
"USC00190736","BLUE HILL, MA US","1932-06","20","0",,"0.92","86",,"63.3"
"USC00190736","BLUE HILL, MA US","1932-07","30","0","0.0","0.88","86","0.0","69.3"
"USC00190736","BLUE HILL, MA US","1932-08","31","0",,"1.38","85",,"70.4"
"USC00190736","BLUE HILL, MA US","1932-09","14","0","0.0","3.50","84","0.0","61.5"
"USC00190736","BLUE HILL, MA US","1932-10","8","0","0.0","3.64","77","0.0","53.2"
"USC00190736","BLUE HILL, MA US","1932-11","0","0","0.0","1.68","64","0.0","39.2"
"USC00190736","BLUE HILL, MA US","1932-12","0","0","2.6","0.40","62","10.9","34.3"
"USC00190736","BLUE HILL, MA US","1933-01","0","0","0.8","0.90","55","2.5","34.2"
"USC00190736","BLUE HILL, MA US","1933-02","0","0","11.1",,"59","23.4","29.7"
"USC00190736","BLUE HILL, MA US","1933-03","0","0","4.3","1.73","55","18.8","31.9"
"USC00190736","BLUE HILL, MA US","1933-04","2","0","6.8","1.95","72","6.9","43.4"
"USC00190736","BLUE HILL, MA US","1933-05","17","0","0.0","1.77","84","0.0","58.7"
"USC00190736","BLUE HILL, MA US","1933-06","24","1","0.0","0.54","94","0.0","66.3"
"USC00190736","BLUE HILL, MA US","1933-07","25","1","0.0","1.68","92","0.0","68.2"
"USC00190736","BLUE HILL, MA US","1933-08","26","1","0.0","1.03","90","0.0","68.2"
"USC00190736","BLUE HILL, MA US","1933-09","14","0","0.0","5.12","80","0.0","62.4"
"USC00190736","BLUE HILL, MA US","1933-10","1","0","0.0","0.88","72","0.0","50.4"
